subject_id,n_test,accuracy,f1_macro,model
S10,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S11,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S13,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S14,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S15,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S16,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S17,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S2,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S3,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S4,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S5,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S6,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S7,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S8,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S9,33,0.45454545454545453,0.20833333333333334,Baseline (Majority Class)
S10,33,0.9696969696969697,0.959866220735786,Logistic Regression
S11,33,0.9090909090909091,0.8690909090909091,Logistic Regression
S13,33,0.7272727272727273,0.6682263814616757,Logistic Regression
S14,33,0.9393939393939394,0.9249999999999999,Logistic Regression
S15,33,0.8181818181818182,0.6785714285714285,Logistic Regression
S16,33,0.8787878787878788,0.8274509803921569,Logistic Regression
S17,33,0.8787878787878788,0.8159139784946237,Logistic Regression
S2,33,0.9696969696969697,0.9619047619047619,Logistic Regression
S3,33,0.7575757575757576,0.6380952380952382,Logistic Regression
S4,33,0.6363636363636364,0.5251382604323781,Logistic Regression
S5,33,0.7575757575757576,0.6464912280701754,Logistic Regression
S6,33,0.9090909090909091,0.8690909090909091,Logistic Regression
S7,33,0.8484848484848485,0.8142414860681115,Logistic Regression
S8,33,0.9393939393939394,0.9345238095238096,Logistic Regression
S9,33,0.8484848484848485,0.8154239766081871,Logistic Regression
S10,33,1.0,1.0,Random Forest
S11,33,0.8787878787878788,0.8153846153846155,Random Forest
S13,33,0.9090909090909091,0.8885448916408668,Random Forest
S14,33,0.9393939393939394,0.9249999999999999,Random Forest
S15,33,1.0,1.0,Random Forest
S16,33,0.8181818181818182,0.7277419354838709,Random Forest
S17,33,0.7878787878787878,0.6937927663734116,Random Forest
S2,33,0.9393939393939394,0.9166666666666666,Random Forest
S3,33,0.8484848484848485,0.7530864197530865,Random Forest
S4,33,0.7575757575757576,0.6698752228163993,Random Forest
S5,33,0.7878787878787878,0.7184184184184185,Random Forest
S6,33,0.8787878787878788,0.8153846153846155,Random Forest
S7,33,0.9696969696969697,0.9619047619047619,Random Forest
S8,33,0.6666666666666666,0.585955710955711,Random Forest
S9,33,0.9393939393939394,0.9249999999999999,Random Forest
S10,33,0.8484848484848485,0.7530864197530865,SVM (RBF)
S11,33,0.9090909090909091,0.8690909090909091,SVM (RBF)
S13,33,0.6060606060606061,0.5023809523809524,SVM (RBF)
S14,33,0.8787878787878788,0.8518518518518517,SVM (RBF)
S15,33,0.7878787878787878,0.5862068965517241,SVM (RBF)
S16,33,0.8484848484848485,0.7671957671957671,SVM (RBF)
S17,33,0.5757575757575758,0.47508609178438405,SVM (RBF)
S2,33,0.8181818181818182,0.6785714285714285,SVM (RBF)
S3,33,0.9090909090909091,0.8690909090909091,SVM (RBF)
S4,33,0.6666666666666666,0.5845117845117845,SVM (RBF)
S5,33,0.8787878787878788,0.8427128427128426,SVM (RBF)
S6,33,0.8484848484848485,0.7530864197530865,SVM (RBF)
S7,33,0.7575757575757576,0.7060185185185185,SVM (RBF)
S8,33,0.9393939393939394,0.9345238095238096,SVM (RBF)
S9,33,0.7878787878787878,0.739938080495356,SVM (RBF)
S10,33,1.0,1.0,Gradient Boosting (HistGB)
S11,33,0.9090909090909091,0.883804892425582,Gradient Boosting (HistGB)
S13,33,0.9090909090909091,0.8795986622073578,Gradient Boosting (HistGB)
S14,33,0.9393939393939394,0.9220779220779222,Gradient Boosting (HistGB)
S15,33,0.8787878787878788,0.8518518518518517,Gradient Boosting (HistGB)
S16,33,0.8787878787878788,0.8159139784946237,Gradient Boosting (HistGB)
S17,33,0.7272727272727273,0.6462835249042146,Gradient Boosting (HistGB)
S2,33,1.0,1.0,Gradient Boosting (HistGB)
S3,33,0.8484848484848485,0.7530864197530865,Gradient Boosting (HistGB)
S4,33,0.9090909090909091,0.8940092165898618,Gradient Boosting (HistGB)
S5,33,0.8484848484848485,0.7671957671957671,Gradient Boosting (HistGB)
S6,33,0.8484848484848485,0.810727969348659,Gradient Boosting (HistGB)
S7,33,0.9090909090909091,0.8885448916408668,Gradient Boosting (HistGB)
S8,33,0.8484848484848485,0.8281385281385282,Gradient Boosting (HistGB)
S9,33,0.9090909090909091,0.8885448916408668,Gradient Boosting (HistGB)
