model,accuracy,f1_macro,loso_acc_std,loso_f1_std
Gradient Boosting (HistGB),0.8909090909090909,0.8622842566749318,0.06658791097861039,0.09166425040970881
Random Forest,0.8747474747474747,0.8393165768683709,0.09641798316831597,0.13010944172904676
Logistic Regression,0.8525252525252526,0.8098335783889753,0.09709587750058922,0.1346290431458355
SVM (RBF),0.804040404040404,0.7445116045650981,0.11037404751230492,0.13948582843788873
Baseline (Majority Class),0.45454545454545453,0.20833333333333334,1.7237850130861175e-16,5.745950043620392e-17
